GrantNumber,OutputId,Event,Date,Place,TargetGroup,Type,Url
129279,F90F5A52-6ED9-45D5-96EA-15F033DD362F,"Fachtagung Gymnasilallehrkäfte für Mathematik, Physik und Informatik",2012-11-01,"Burgdorf, Switzerland",Other administration / public sector,Talk,nan
129279,B50069E6-AB0F-4E98-AB17-D4FB665877B1,"Berufsorientierung, Geschlecht und Schule",2016-09-09,"Bern, Switzerland",Other administration / public sector,Talk,nan
129279,D2BCFBCE-40CF-434B-B6A6-A662F797BAA5,"Beruf, Karriere und Geschlecht",2013-06-17,"Zürich, Switzerland",Other administration / public sector,Talk,nan
129279,66A61937-CF67-458B-A797-E253630167C9,am Begegnungstag „Gymnasien-Hochschulen“ der Erziehungsdirektion des Kantons Bern,2015-03-26,"Bern, Switzerland",Other administration / public sector,Talk,nan
129279,3F3FC4C1-C77F-4981-B69E-DC9D7F58B0CA,3. Programmtagung des NFP60,2013-11-05,"Biel, Switzerland",Other administration / public sector,Poster,nan
185622,8E833DE0-22BA-4556-B890-058497DA31C2,Kolloquium der Fachstelle für Kinderbetreuung Luzern,2022-02-03,"Kriens, Switzerland",Other foundations / NGOs,Talk,nan
185622,6903E891-D723-49B2-8444-84D06AF67827,BFH Lunch-Talk,2021-05-05,"Bern, Switzerland",Other administration / public sector,Talk,nan
185622,A2618FA3-CC84-49DD-807F-5FB8EA0FAB06,NFP76 Dialogveranstaltung,2021-12-07,"Bern, Switzerland",Other administration / public sector,Talk,nan
177410,2B884654-D866-4AFC-937D-2413E3E62337,Comité de suivi projet CPMin76,2019-01-11,"HETS GEet HETS VS, Switzerland",Other administration / public sector,Self-organised,nan
177410,DB4BCFAE-456A-4434-B973-06EE70D0AFE0,Dispositifs de la protection de l’enfant. Comment l’Etat peut garantir les droits élémentaires des enfants ?,2019-10-10,"HETS-Sierre HES-SO, Switzerland",Other administration / public sector,Talk,nan
177410,3EC1A00C-E878-439D-84C9-EF166185E1C1,"Réunion concernant la création d'un observatoire des politiques de l'enfance, de la jeunesse et de la famille",2020-01-23,"HETS Genève, Switzerland",Other administration / public sector,Self-organised,nan
177410,153DB232-CF08-4479-8E92-F1562D75E2E1,"G-Inter autour du placement des mineurs /Histoire, enjeux, pratiques",2020-03-06,"HETS Genève, Switzerland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
177410,740F0430-0EEB-4836-8201-C6129F2B1B1A,Table ronde du Forum des APEA du canton de Berne,2019-09-10,"Macolin, Switzerland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
183144,A5750D76-0B4D-45DD-83A5-ABB7AE6A9657,"Workshop ""Art and Digital Kapital""",2020-03-11,"Hochschule der Künste Bern, Switzerland",Other administration / public sector,Self-organised,nan
185631,03026B16-5831-41B0-ACD6-4C19D241BD72,Workshop Begleitgruppe,2020-09-03,"Olten , Switzerland",Other foundations / NGOs,Self-organised,nan
185631,E2383667-945F-469E-8E29-434392DAA17A,"Tagung Plattform Fremdplatzierung: Wie bringt man ""Bientraitance""und Fremdplatzierung zusammen?",2020-01-21,"Casino Bern , Switzerland",Other administration / public sector,Talk,https://www.integras.ch/images/_pdf/servicemenu/tagungen/plattform-fremdplatzierung/Referate_Plattform_2020/1_Hauss-Gisela_Bientraitance-Historisch_Referat.pdf
139324,C8DAA5A1-2B17-4EF5-8A09-3D409A55317C,Palliative Care in den Wohnheimen der Behindertenhilfe. Referat an der regionalen Konferenz des Domácí hospic Jordán „Palliative und Hospiz Care“,2015-04-28,"Tabor, Czech Republic",Other foundations / NGOs,Talk,nan
139324,31166D4C-6010-4555-ABD1-BBE2E81B3B07,Wohnangebote für Senioren und Seniorinnen mit Behinderung in der Schweiz - Notwendigkeiten und Bedürfnisse. Referat an der Tagung „Das dritte Drittel oder „Wenn sie älter werden“,2013-09-20,"Zürich, Switzerland",Other foundations / NGOs,Talk,nan
139324,E6AD98AC-45C6-4678-8320-50174A4A375A,Palliative Care in den Wohnheimen der Behindertenhilfe. Erste Ergebnisse. Curaviva Fachgruppe Erwachsene mit Behinderung,2013-10-24,"Zürich, Switzerland",Other foundations / NGOs,Talk,nan
139324,C0215B12-356A-45D4-A7EE-5B8D10FAFF90,Palliative Care in den Wohnheimen der Behindertenhilfe,2015-01-20,"Luzern, Switzerland",Other foundations / NGOs,Self-organised,nan
139324,377F6FAC-A569-4637-B055-4BAA7D929F19,Besprechung der Konsultationsgruppe,2013-10-02,"Zürich, Switzerland",Other foundations / NGOs,Self-organised,nan
139324,D1AF4F33-C244-4529-965E-85342EFE3A16,Besprechung der Konsultationsgruppe,2013-03-13,"Zürich, Switzerland",Other foundations / NGOs,Self-organised,nan
139324,F1F682CF-5E9D-4D6B-BC0B-00CE04196722,Palliative Care in den Wohnheimen der Behindertenhilfe – wer bestimmt am Lebensende?,2014-09-25,"Zürich, Switzerland",Other foundations / NGOs,Self-organised,nan
139324,AB13A6CD-2803-4918-B146-2C718AA15804,Selbstbestimmung bis zum Lebensende. Referat an der internen Weiterbildung Palliative Care für Mitarbeitende des Wohnheims Kontiki,2014-05-16,"Egerkingen, Switzerland",Other foundations / NGOs,Talk,nan
139324,06C354E6-3879-4D74-9C75-E2B3D8858FCA,Im Wohnheim Sterben? Ausgangslage und Handlungsmöglichkeiten in den Schweizer Wohnheimen der Behindertenhilfe. Curaviva Impulstag 6 - Palliative Care für Menschen mit Unterstützungsbedarf,2013-06-19,"Olten, Switzerland",Other foundations / NGOs,Talk,nan
139324,91AECFDD-BEF1-4FB8-8064-5A95B56975E8,Besprechung der Konsultationsgruppe,2014-04-02,"Zürich, Switzerland",Other foundations / NGOs,Self-organised,nan
139324,CB41612A-2800-4808-B99B-596E014EBE62,Das dritte Drittel,2015-09-24,"Zürich, Switzerland",Other foundations / NGOs,Talk,http://www.swissepi.ch/epi-wohnwerk/navigationsteil-b/veranstaltungen/das-dritte-drittel/
139324,3049C631-7170-486E-A432-CD6C9938DAE9,"Selbstbestimmung bei Entscheidungen am Lebensende – auch bei intellektueller Beeinträchtigung? Altern, Sterben und Tod. Vorlesungsreihe des Zentrums für Gerontologie, Universität Zürich",2015-03-25,"Zürich, Switzerland",Other foundations / NGOs,Talk,nan
139324,CE54C756-7E36-4BAC-887C-9034C326FF71,Palliative Care für Menschen mit intellektueller Behinderung,2015-02-06,"Bern, Switzerland",Other administration / public sector,Self-organised,nan
139324,A6ACE5AD-46EF-42D9-A79E-7810253CFD1C,Psychiatrische und medizinische Versorgung in Wohnheimen der Behindertenhilfe in der Schweiz.  Vortrag an der Tagung „Teilhabe und soziale Inklusion – Europäische Praxis und Forschungsperspektiven im Gespräch“,2015-05-08,"Zürich, Switzerland",Other foundations / NGOs,Talk,nan
162108,92AF7577-4AFB-4134-9FBC-E3333DAE039B,Department of physics open house,2016-10-30,"Montreal, Canada",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
174987,422B6593-7B18-4CB9-A9CB-BE7D149BCECA,ECMI Modelling Week 2018,2018-07-15,"Novi Sad, Serbien",Other foundations / NGOs,Workshop,https://sites.dmi.uns.ac.rs/ecmimw2018/
165305,B7A994D0-4B56-430A-997F-8B3CF2588BDA,Seminar: Emotions and emotional intelligence in the translator’s workplace - Irish Association for Translators and Interpreters,2016-10-19,"Dublin, Ireland",Industry / private companies,"Performances, exhibitions (e.g. for education institutions)",nan
158943,E33B558D-789C-4006-BE01-3393A35F0F94,Multiphysical Behavior of Geomaterials Involved in Disposal of Radioactive Wastes,2016-03-24,"Lubbock , United States of America",Other administration / public sector,Self-organised,nan
191721,207A69B8-5DCF-4E27-97DB-26A01EDE061F,Urban Forum - Practice meets Academia // Time in design / Temporal processes,2021-11-19,"Lund, Sweden",Industry / private companies,Self-organised,nan
191721,82AD073C-B8BF-49B6-9CD2-50833F31AF3E,"Urban Forum - Practice meets Academia // Time in design / Navigating past, present, and future",2021-11-12,"Lund, Sweden",Industry / private companies,Self-organised,nan
191721,984434A0-FCF2-4E89-B2F0-01F90E7BAFB0,Urban Forum - Practice meets Academia // The responsibility of design / Rethinking Proceesses,2021-02-05,"SLU - Alnarp, Sweden",Industry / private companies,Self-organised,nan
191721,E31684A0-1007-43B2-A31D-E1177F654B1C,Urban Forum - Practice meets Academia // The responsibility of design / Across scales,2021-03-12,"SLU - Alnarp, Sweden",Industry / private companies,Self-organised,nan
181437,4F8231E1-8501-479F-A087-88E418FAA0DF,Redefining the Landscape- Women in STEM exhibit and speaker series,2020-03-03,"Chicago, Illinois, United States of America",Other administration / public sector,Poster,https://pme.uchicago.edu/news/exhibit-and-speaker-series-celebrates-women-stem
181437,2F540D21-33CA-484E-B3CE-EA66C9A4621F,"National Chemistry Week (NCW), Outreach for family",2019-10-20,"Chicago. Illinois, United States of America",Other administration / public sector,Workshop,nan
155039,683AF978-E5DF-46E7-9183-711E27094EE3,Urban Informality in Kyrgyzstan,2015-09-09,"Bishkek, Kyrgyzstan",Other foundations / NGOs,Self-organised,nan
168394,C93A6C73-F25B-4FAE-AB7B-B30FEDDDB472,Professional Development Workshop: What’s next? Exploring career and life options for senior scholars (PhD +25) in entrepreneurship,2017-08-04,"Atlanta, GA, United States of America",Other foundations / NGOs,Talk,https://my.aom.org/Program2017/SessionDetails.aspx?sid=14436
168394,C9A58551-D494-49E8-92BE-B4C5FD39303F,2017 Levitt Awards Poster Exposition of the Institute for Learning in Retirement at Oak Hammock Retirement Community,2017-02-10,"Gainesville, FL, United States of America",Other foundations / NGOs,Poster,nan
195181,AC5ADC68-492D-4DC1-B3F2-F0BBA06B7F05,First ADTKD Virtual International Summit (with patient involvement),2020-09-24,"virtual, United States of America",Other administration / public sector,Talk,nan
195181,81B4B204-A83D-40CE-A664-680F96CE764B,Second ADTKD Virtual International Summit (with patient involvement),2021-11-19,"virtual, United States of America",Other administration / public sector,Talk,nan
158706,781E6638-52F8-4E62-8CDF-803AD79B7DB4,"Internes Kolloquium, BAFU Abt. Kommunikation (""Lokale Klimawandelkommunikation und Motivation zum Klimaschutz"")",2016-03-15,"Bern, Switzerland",Other administration / public sector,Talk,nan
158706,6DBDDDE5-A78B-4875-8DBD-63AAD0B6F53F,Foro Internacional de Ciencias Sociales / International Forum of Social Sciences,2017-08-02,"Cusco, Peru",Other foundations / NGOs,Talk,http://foroics.unsaac.edu.pe/
164912,8900F4B2-894F-45DB-B3E8-7529FB1CC72F,12th International Symposium on the Analysis and Detection of Explosives (ISADE),2017-09-17,"Oxford, Switzerland",Industry / private companies,Workshop,http://enfsi.eu/agenda/international-symposium-on-the-analysis-and-detection-of-explosives-isade-2017-conference/
168566,B3E0BB43-367E-4226-8974-1886E8FE7A5A,"Wissen teilen in Teams, Ärtztefortbildung, Klinken Valens",2016-11-17,"Valens, Switzerland",Industry / private companies,Talk,nan
188277,A373D814-DD47-482B-B4C7-9DD2D1CB45DF,Wellcome Enrichment Programme ¨Language of Shape¨,2020-07-01,"Londres, online, Great Britain and Northern Ireland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
165353,C04D11EA-A953-4DF8-AFBB-A43FF283591C,Lecture about Cardiovascular disease in old age at the Master of Vitality and Ageing Program,2016-12-05,"Leiden, Netherlands",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",http://en.mastersinleiden.nl/programmes/vitality-and-ageing/en/introduction
181884,75810D8A-DDE3-41A4-B6F8-9A961C831C72,Skype a Scientist,2020-09-30,"Boston, United States of America",Other administration / public sector,Talk,https://www.skypeascientist.com/
171763,E7FC897E-1DA2-4D6F-9B86-B059FFAEBB9D,Exercise is Medicine Knowledge Transfer Event,2018-03-28,"Brisbane, Australia",Industry / private companies,Self-organised,nan
171763,A836A39D-BB61-4F3A-A313-5392BAD3E882,Exercise is Medicine Knowledge Translation Event,2018-02-20,"Trondheim, Norway",Other administration / public sector,Workshop,nan
171763,CEB31283-252E-40D9-BB8D-FA119A0E2BB0,Knowledge Transfer Talk at Epatocentro Lugano (one component included training for general medical practitionners),2018-02-08,"Lugano, Switzerland",Other foundations / NGOs,Self-organised,http://www.epatocentro.ch/it/Media/Files
161868,B9D3873D-A3FB-4D99-AFE4-BD0C472EE2F4,"Summer School 2017 “Creative approaches to qualitative researching”, methods@manchester",2017-06-26,"University of Manchester, Great Britain and Northern Ireland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",http://www.methods.manchester.ac.uk/connect/events/summer-school/courses/
161868,2971DEE3-2B58-4885-BC65-C43DB6FBEFA8,"- Lecture in the class ""A Sociology of Family Life and Intimacy"", Convenor: Dr Helen Holmes",2017-02-06,"University of Manchester, Great Britain and Northern Ireland",Other administration / public sector,Talk,nan
161868,CEAFD27B-5251-4CCA-8011-75B08FA053AE,"Summer School 2016 “Creative approaches to qualitative researching”, methods@manchester",2016-07-04,"University of Manchester, Great Britain and Northern Ireland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
161868,487D9385-1E8C-49EA-AF6E-5F8A25B79214,"“Creative approaches to qualitative researching”, National Centre for Research Methods",2016-10-04,"University of Manchester, Great Britain and Northern Ireland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",https://www.ncrm.ac.uk/training/show.php?article=6274
161868,C5187648-5FDA-46FA-A251-DF7AC3949DBC,"Lecture in the class ""Sociology of Personal Life"", Convenors: Dr Petra Nordqvist & Dr Luke Yates",2016-10-05,"Université de Manchester, Great Britain and Northern Ireland",Other administration / public sector,Talk,nan
158733,DAEB29E3-5025-41DE-9C6D-1E629A5A847F,Antalya International Security Symposium,2016-12-02,"Antalya, Turkey",Other administration / public sector,Talk,nan
158733,9E218935-89F5-4117-AD90-9BE115E002B6,Workshop on “Youth and Radical Movements”,2015-12-22,"Beyrouth, Lebanon",Other foundations / NGOs,Talk,nan
158733,D548A12A-8BB5-4FF7-BB57-86D5DB5E5696,Workshop on “Deconstructing Islamist Terrorism in Egypt”,2015-10-01,"DGAP, Berlin, Germany",Other foundations / NGOs,Talk,nan
158733,E88A9621-4D9B-4414-90E1-3D76A2D960D9,Workshop on “Challenges and Opportunities in the Middle East after the Arab Uprisings”,2016-04-11,"Gaziantep, Turkey",Other foundations / NGOs,Talk,nan
172040,84871802-E61C-41B5-BF6E-6C87D65EB545,Alltag-Palaver – Feed your Groundhog,2017-08-05,"Basel, Switzerland",Other administration / public sector,Talk,nan
177998,D1E87173-E2E2-4DF3-8AE9-08F35C17D0F5,ESBG 1st Financial History Webinar,2020-11-16,"Brüssel, Belgium",Industry / private companies,Talk,nan
177998,1B797A58-0BCA-49B2-B438-5639D6A11CBF,"Workshop “Financial History”. Erste Group, Vienna",2019-09-27,"Wien, Austria",Industry / private companies,Talk,nan
161860,163093FB-B1CC-4633-B4C3-4EA9BCD72DFB,Outreach,2017-05-02,"Macquarie University, Sydney, Australia",Other administration / public sector,Talk,nan
162114,A28B9079-EBC1-4698-8C88-0F6B5DA47F38,Maxwell Centre Opening Celebration,2016-04-07,"Cambridge, Great Britain and Northern Ireland",Industry / private companies,"Performances, exhibitions (e.g. for education institutions)",http://www.maxwell.cam.ac.uk/maxwell-centre-opening-celebration
162114,033E2FA0-1A2F-4238-AC2A-A7C19A88DA53,Physics@work 2015,2015-09-22,"Cambridge, Great Britain and Northern Ireland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",http://outreach.phy.cam.ac.uk/programme/physicsatwork
181506,2148AEB8-91D8-4929-ACEF-28C5C79F8650,STEM career symposium at UCSD,2021-01-04,"UCSD (virtuell), United States of America",Industry / private companies,Self-organised,nan
151900,BFB6D117-140B-46F7-8F2A-946376DC40BE,"Basel Night, swissnex Boston, Consulate of Switzerland",2014-01-30,"Boston, MA, United States of America",Industry / private companies,Talk,http://www.swissnexboston.org
174997,044ED2DF-A6F0-4411-8875-A231229FA537,Nature Jobs Career Fair “What can you be with a PhD” with SwissNex,2017-11-04,"New York, NY, United States of America",Other foundations / NGOs,Talk,https://www.whatcanyoubewithaphd.com/
168437,E862863C-17D2-4181-871C-D697236F3A73,Lily's fund for epilepsy research,2018-01-21,"Madison, United States of America",Other foundations / NGOs,"Performances, exhibitions (e.g. for education institutions)",nan
168437,D9DEDF7E-B573-45BB-9A48-E12895284D5D,Lily's fund for epilepsy research,2018-01-20,"Madison, United States of America",Other foundations / NGOs,"Performances, exhibitions (e.g. for education institutions)",nan
187765,79300379-5851-4AB8-99CD-D9896A460121,Herramientas y Prácticas Educativas para la Sustentabilidad,2020-07-06,"Online webinar, Chile",Other administration / public sector,Talk,nan
171774,94F2809B-DC52-4F40-B784-DF3F36D79CD8,CSD Ingénieur Lunch Lecture,2017-10-06,"Lausanne, Switzerland",Industry / private companies,Talk,nan
171774,509B4324-0F77-46BD-8448-C0827C0041AA,Lombardi Research meeting,2018-09-05,"Minusio, Switzerland",Industry / private companies,Talk,nan
162040,7D05BE84-1741-478C-B2DD-4CC3688521A0,"PhD course: Introduction to the theory and practice of Multiple-Point Statistics. Geocenter, University of Copenhagen",2017-08-15,"Copenhagen, Denmark",Other administration / public sector,Workshop,nan
172068,8C45F82D-FD69-44A5-8A39-0DD99F205E80,Die Entstehung der schweren Elemente im Universum,2018-05-25,"Darmstadt, Germany",Other administration / public sector,Talk,nan
161876,27047AC2-EB1A-4106-A69E-7476EEE09C0A,The Nature Conservancy Open Standards for Civil Society Leadership Curriculum Project Workshop,2017-04-25,"New York, United States of America",Other foundations / NGOs,Workshop,nan
191475,A6FF7124-7BEE-477E-9660-1F1A58FECFF6,Classes romaines,2021-10-15,"Genève, Switzerland",Other administration / public sector,Self-organised,https://www.facebook.com/pg/lanuitantique/posts/
168804,45AE57F7-E405-4FF8-BAA1-287C5443EECE,Knowledge-Sharing Seminar on Fisheries Subsidies,2017-11-16,"World Trade Organization, Geneva, Switzerland",Other administration / public sector,Workshop,nan
168804,57DBE36E-EF22-4AFE-B43F-B5F7FBB36408,C-EENRG Seminar on Around the World in 605 State Energy Agreements,2018-03-01,"University of Cambridge, Great Britain and Northern Ireland",Other foundations / NGOs,Self-organised,https://www.ceenrg.landecon.cam.ac.uk/images/ceenrg-seminars-lentterm20180206.pdf
168804,B8D02498-779C-4FAD-B31C-23EC3A7FAF52,Advancing SDG 14.6 Through Fisheries Subsidies Disciplines: Options on Institutional Issues,2017-10-05,"Maison de la Paix, Geneva, Switzerland",Other administration / public sector,Workshop,http://e15initiative.org/wp-content/uploads/2015/09/Agenda-E15-Legal-Issues-workshop-5-October.pdf
148530,AFADF598-9EC0-4B0F-9DBF-33533FF92FC7,AGU 2014,2014-12-17,"San Francisco, United States of America",Other administration / public sector,nan,nan
148530,40BD5836-9DEF-4BFF-A282-FD19188CDBF6,GIS workshp,2014-03-12,"Geneva, Switzerland",Other administration / public sector,Self-organised,nan
164895,CB91013F-DC7D-42A3-B6F7-FC694A385D7D,Bertha Foundation Public Interest Lawyers Convening,2016-04-10,"Cape Town, South Africa",Other foundations / NGOs,Talk,nan
164895,1F3C5B91-D12B-40D6-9092-BCA566B70C0E,Initiative populaire pour des entreprises responsables,2017-04-04,"Berne, Switzerland",Other foundations / NGOs,Workshop,nan
164895,05B2DAD0-14C6-40C9-A993-3CF534252419,International Monsanto Tribunal,2016-10-21,"La Haye, Netherlands",Other foundations / NGOs,Self-organised,nan
155499,9F698641-7E1F-4E09-903F-AFD193D05825,Humanitarain Law and Negotiation,2016-10-31,"Kiev, Ukraine",Other foundations / NGOs,Workshop,nan
161682,F18DC6BE-4D34-44FB-B6FF-BDDBE6E059C1,Workshop on 'Students must Rise',2016-08-04,"Tshisimani Centre for Activist Education, Cape Town, South Africa",Other foundations / NGOs,Workshop,nan
152243,E5BFA97C-E8CE-4F61-9E56-CA44352DA749,Science: Polish Perspectives,2015-10-30,"Cambridge, Great Britain and Northern Ireland",Other administration / public sector,nan,http://www.polishperspectives.org/
181429,0501EB64-0653-4468-AF20-24AC4F5164CA,Yale Sustainable Food Program’s Knead to Know Presentation Series,2019-02-08,"New Haven, United States of America",Other foundations / NGOs,Talk,nan
151972,DF7B8D95-7266-452B-B7A9-78081BCB60C0,Postdoc share their science,2015-03-24,"MIT, Cambridge, United States of America",Industry / private companies,nan,http://pda.mit.edu/mit-postdocs-share-their-science-mar-24-100-330pm-walker-mem/
152133,F425AC10-030E-4787-9333-C7A590B8DF3D,2015 Carbon Mitigation Initiative (CMI) Annual Meeting,2015-04-14,"Princeton University, Princeton, United States of America",Industry / private companies,nan,http://cmi.princeton.edu/
184189,C84D6230-00B5-462D-9908-C2E0D1CD8B1E,Tutor for refugee children,2020-10-01,"San Diego, United States of America",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",https://sdrefugeetutoring.com/
162151,4A2A5C79-B173-45C6-82F3-B495F98C03DA,Space Power Workshop 2017,2017-04-25,"Manhatan Beach , United States of America",Industry / private companies,Workshop,nan
191347,B8B82752-67F1-49C5-B7F4-6402BA7F4A23,"Multi-sample SPIM Image Acquisition, Processing and Analysis of Vascular Growth in Zebrafish",2020-07-06,"Virtual, United States of America",Other administration / public sector,Talk,https://jrnlclub.org/research-films/zebrafish-spim-imaging-vascular
181444,6DCD9264-A85B-4D72-9C32-4C11393E906A,"Komplexität Abbilden Medien, Wissenschaft und die Darstellung von Islam und Nahem Osten",2019-02-14,"Zurich, Switzerland",Other administration / public sector,Self-organised,nan
184211,0034CE78-2CA1-4AC5-9267-394611684656,Discovery Day in Health Sciences,2019-10-25,"University of Calgary, Canada",Other administration / public sector,Workshop,https://www.cdnmedhall.org/workshop-abstract-form?id=374
164961,4378B3E5-E18D-40C9-893E-214445B35718,Published an article in Hindustan Times and in Ideas For India about one of my current research projects,2017-09-18,"Hindustan Times (newspaper), India",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",http://www.hindustantimes.com/analysis/how-indoor-air-pollution-is-leading-to-stunted-growth-in-india-s-children/story-2LrX34JQjgMJvzMLptkSrJ.html
187938,7C36DA87-253B-4418-B689-9841E0D071D6,Le conseguenze del ritiro dei ghiacciai per la biodiversità di piante,2021-02-02,"Youtube, Switzerland",Other foundations / NGOs,Talk,https://www.youtube.com/watch?v=Qw3duBjjQ-Y&list=PLlIHq_89jALYcqY3BykLc5Al1gn71fi9m
187938,42F56E18-B9B7-4E3F-B9E1-12EB922A4098,"Facilitazione, mutualismo e reti ecologiche.",2021-03-20,"Online, Italy",Other foundations / NGOs,Talk,https://www.facebook.com/iolas.aps.it/videos/789186241952289/
181450,77F036FD-91A3-4C2D-AABC-6C26BDCC4EBF,"Cours ""Moderne Theoretische Physik IIIa"", Karlsruhe Institute of Technology",2019-10-17,"Karlsruhe Institute of Technology, Karlsruhe, Germany",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",https://www.tkm.kit.edu/lehre/index_3572.php
191401,691AB042-3BCF-4C11-B7BE-FC5445FDDD86,La dignità e la cura,2021-04-29,"Online, Switzerland",Other foundations / NGOs,Talk,https://www.sasso-corbaro.ch/sites/default/files/images/fsc/depliant_stampa.pdf
165435,4887DF73-A4CA-48E6-9DF0-FBEB19FAB86F,Training Course on Field Techniques and Data Tools for Monitoring Permafrost,2017-10-21,"Kathmandu, Nepal",Other foundations / NGOs,Self-organised,http://www.icimod.org/?q=25600
165435,69925439-7C3F-4BCC-B4E3-FF08C00E6557,Global Cryosphere Watch Planning meeting,2017-09-13,"Montreal, Canada",Other administration / public sector,Talk,nan
165435,1CE39F58-6BF4-461D-92DB-1EB6AC234FD2,South Asia Hydromet Forum - Pathways for Regional Collaboration,2018-09-18,"Geneva, Switzerland",Other administration / public sector,Talk,https://public.wmo.int/en/events/meetings/south-asia-hydromet-forum-pathways-regional-collaboration
165435,F390126F-99B6-4B38-94FC-204DC0A6511D,"Permafrost Field Expedition to Yala, Langtang Valley, Nepal",2017-10-08,"Langtang, Nepal",Other foundations / NGOs,Self-organised,http://www.icimod.org/?q=25599
165435,72B438A2-F214-4394-9A85-EB37FE44A572,WIGOS Data Quality Monitoring System,2017-06-26,"Geneva, Switzerland",Other administration / public sector,Talk,nan
164907,2544A3B0-B2F4-4D74-B117-48078D54DA8A,CARMHA and BC Ministry of Health meeting,2016-02-12,"Victoria, Canada",Other administration / public sector,Talk,nan
171910,3472FB2A-E733-4012-81E1-81376A92B447,"I/O Colloquium, Department of Psychology, Portland State University",2017-10-12,"Portland State University, United States of America",Industry / private companies,Talk,nan
155186,7E7A008D-B99B-46AA-B4F4-45AC6F68F6DF,Zusammen mit 2 Musikern ist eine CD-Aufnahme von 6 Sonaten aus Arcangelo Corellis Op. 5 geplant (Es existiert eine vertragliche Zusicherung des CD-Labels). Dabei werden meine Forschungsergebnisse umgesetzt.,2016-08-01,"Graz, Austria",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
171818,744D2572-2FC6-4B1F-92C5-68958A284A60,Hyla perrini : une nouvelle espèce de rainette en Suisse,2018-12-01,"Neuchatel, Switzerland",Other administration / public sector,Talk,nan
178139,3A50F04F-BCC4-4CD4-A840-9A5F87F49DED,Familiengründung als vulnerable Phase,2019-08-23,"Zürich, Switzerland",Industry / private companies,Talk,https://www.psychologie.uzh.ch/de/bereiche/hea/kjpsych/tagung/2019/Programm.html
148640,DE686FA8-B978-4FC1-9B30-179D18AD97B1,Engineering Exploration Experience,2014-03-29,"New York City, United States of America",Other administration / public sector,nan,nan
148640,6DFF0657-B697-4415-BE2F-6CCB58C62952,Science Expo 2014,2014-02-08,"New York City, United States of America",Other administration / public sector,nan,nan
178043,79B82E62-83B8-4781-B56D-2085340C6B92,BioMaker Annual Meeting,2019-11-06,"Cambridge, Great Britain and Northern Ireland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
158691,7A9496E9-68C8-4489-ACAD-D12F9B66077D,"""The neural substrates of social communication in nonhuman animals"", cours universitaire de psychologie (2e annee)",2016-02-01,"University College London, Great Britain and Northern Ireland",Other administration / public sector,Talk,nan
158691,8ACDA7FB-F8E0-4736-9DBD-12C878C10498,"MSc Neuroscience Journal Club, animation de 2 ateliers de discussion d'etudes scientifiques liees aux neuroscience auditives sensorielles et cognitives",2016-02-11,"University College London, Switzerland",Other administration / public sector,Workshop,nan
158691,C3A59D38-C6D1-4C8F-8DA1-7CE0EBC55263,"Ear Institute Careers Day, 2 exposes destines aux jeunes doctorants/postdocs decrivant a) ma trajectoire professionnelle et b) mon experience et mes conseils acquis au cours de ma candidature a la bourse de recherche Henry Wellcome Postdoctoral Fellowship",2016-06-20,"Ear Institute, University College London, Great Britain and Northern Ireland",Other administration / public sector,Talk,nan
158794,7455D4E2-C43F-4A3E-AB5D-715E44C29642,El fenómeno Trump y el Brexit en el marco de la crisis organica del capitalismo contemporáneo,2016-10-26,"Ciudad de México, Mexico",Other administration / public sector,Talk,nan
178574,EC3B66E5-9B8F-4C5B-8DEE-F1A9E4911B79,Anesthetists team meeting,2019-05-01,"Roanoke (VA), United States of America",Industry / private companies,Talk,nan
178574,B80DAE39-B375-404F-A825-C884F7D038E5,Gynecology and obstetrics residents meeting,2019-05-03,"Roanoke (VA), United States of America",Industry / private companies,Talk,nan
161146,E508733E-0886-4F2A-81F9-0A151955371F,"Jahresschlussvorlesung, Bereich Frau-Kind USZ (To act or not to act?Ist die Intensität der perinatalen Versorgung mit einer erhöhten entwicklungsneurologischen Beeinträchtigung verbunden?)",2018-12-13,"Zürich, Switzerland",Other administration / public sector,Talk,nan
161146,A478D9C3-4472-4B65-9491-6A19A8179BD7,Das Frühgeborene Kind (Fakten und Ausblicke),2019-04-04,"Aarau, Switzerland",Other administration / public sector,Talk,nan
161146,3FCF9CDB-49F6-4530-BBDE-A2FF337E7512,Welt Frühgeborenen Tag (Lebenswege von Frühgeborenen),2018-11-17,"St. Gallen, Switzerland",Other administration / public sector,Talk,nan
