GrantNumber,OutputId,Event,Date,Place,TargetGroup,Type,Url
192684,30B31CDE-7082-41F7-917D-8159E58E8785,Suizidversuche von LGBT-Jugendlichen in der Schweiz – Studienanlage und suizidpräventive Zugänge - WB Luzerner Psychiatrie (LUPS),2021-09-23,"Luzern, Switzerland",Other administration / public sector,Talk,nan
141201,9AB49AE7-834A-4FE9-9E7A-67872F97CD24,Öffentliche Vorträge im Rahmen des Kinder- und Jugendpsychiatrischen Kolloquiums am KJPD Zürich,2015-05-07,"Zürich, Switzerland",Other administration / public sector,Talk,nan
159614,D606E5CC-279D-463A-BB6C-05FF51A090CC,LSD. Ein Sorgenkind wird 75,2018-09-07,"Schweizerischen Nationalbibliothek, Bern, Switzerland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",https://www.nb.admin.ch/lsd
159614,AA4339A4-58EA-484B-A870-002F32B04CF2,Mutterkorn,2017-05-21,"Schweizerisches Agrarmuseum Burgrain, Alberswil (Luzern), Switzerland",Other administration / public sector,Poster,nan
159862,86C93AA7-E821-43C7-B0FD-6AD63A441CC3,Series of climate seminars,2019-02-04,"Geneva, Switzerland",Other administration / public sector,Workshop,nan
146947,9D0D1402-038A-4A42-9A53-3FB6F15C3CC1,Erste Basler Nachtung,2014-09-05,"Basel, Switzerland",Other administration / public sector,Talk,nan
146947,BD1BA0AC-2B2C-40F0-A010-881497184A9C,umherschwirren und verweigern. Stadt im Blick der Situationistischen Internationale,2016-05-12,"Basel, Switzerland",Other administration / public sector,Talk,nan
122011,4A94F8B2-EA90-48F4-8CC0-A52CAB0F4B6E,Scientifica,2011-08-26,"Zürich, Switzerland",Other administration / public sector,Talk,http://www.scientifica.uzh.ch/index.html
130159,9A6BC9C4-81C0-446C-B2AD-83C8121EEE49,2nd summer school on Domain Specific Modeling,2011-09-12,"Lisbonne, Portugal",Industry / private companies,Talk,http://ctp.di.fct.unl.pt/DSM-TP/
152695,90076141-0EF4-4E8E-9ACC-3B73D5D07FDC,"Journée des Etudes doctorales romandes en Sciences de l'éducation : ""La relation entre l'école et les familles à l'épreuve de l'ethnocentrisme scolaire : quand l'institution peine à se décentrer, quel espace pour le partenariat?""",2016-04-15,"Fribourg, Switzerland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
